Beta0,Beta1,Beta2,Beta3,Beta4,Beta5,Beta6
0.081945892,-3.693671742,3.611011156,-1.230425023,0.360782538,1.583936537,-1.553127855
0.505738266,-2.811528888,3.695456163,-0.993013215,-0.062764662,-1.258630257,2.026373374
0.614119752,-1.810271769,2.712881617,-0.821761498,-0.617938681,1.334408939,-1.589124884
0.74863706,-3.86019606,2.796742701,-1.250862366,-0.46261484,0.386256027,-0.505030758
0.603752584,-1.215975733,1.807090817,-1.244183576,-0.445475488,1.165149474,-1.437539669
0.679183936,-1.120664229,1.918424256,-1.076479743,-0.291560597,0.582203337,-0.917625048
0.552613133,-4.123155408,3.705247704,-1.254036331,0.31180391,-0.190654176,0.105838174
0.623411114,-1.705333675,0.677092212,-1.277806807,-0.515726494,1.527267355,-1.913916515
0.533273291,-1.149505,2.068243823,-0.723306842,0.020458325,-0.382720578,0.48796913
0.5520871,-1.936086152,0.538586477,-1.231176936,0.159444019,1.188168192,-1.747829319
0.90465997,-1.764530136,1.278370419,-1.300573933,-0.225506628,-1.190865983,1.366955229
0.846694697,-0.422967699,1.180257731,-1.383732068,-0.366330512,-0.444151424,0.297116796
0.42323319,-1.944962982,2.546298838,-0.949925778,-0.193488447,1.071344628,-1.138970341
0.386020802,-0.70171951,1.310392934,-0.794421401,-0.250953427,0.524657314,-0.388632445
0.806177183,-1.881885381,1.754225373,-1.482280655,-0.20154057,-1.029806974,1.4921082
0.603232543,-2.194329071,2.039026907,-1.531724366,-0.146003942,0.134939326,0.127800253
0.281572031,-2.627023158,3.404675092,-0.904226478,0.190008676,0.519121439,-0.485431689
0.43988677,-1.219233188,2.291963227,-1.4483379,-0.271388213,1.436634282,-1.552171572
0.445769709,-1.95086867,0.010152002,-1.081452194,-0.024096047,1.422871962,-2.016388449
0.702817291,-3.907661944,3.879003852,-1.308734885,0.255193316,-1.907143608,2.240986363
0.758977332,-1.132412125,2.721348006,-1.407287632,-0.028119343,-1.797627316,2.642860226
0.661568254,-4.183571654,2.581270344,-0.884711463,-0.119492767,1.030810142,-1.569661039
0.289564292,-0.825700962,1.798358555,-1.163369944,0.438227288,0.782067003,-0.893671046
0.642146931,-1.624883636,1.429744816,-0.762700782,-0.033224352,0.487330931,-0.98506314
0.526496882,-1.801397667,2.181993228,-1.191289546,0.362578086,-1.80976075,2.769378704
0.779514573,-4.726745845,3.897345395,-1.309875291,-0.196125628,-0.752777578,1.030798227
0.223161221,-1.554002921,2.196467685,-1.151500406,0.215114952,1.731928947,-2.180779246
1.054493298,-1.190661627,2.420773564,-1.621760175,-0.454776393,-0.984157593,1.181344274
0.410074346,-2.639144912,1.78310212,-0.880014317,0.21237967,0.415533245,-0.344972061
0.709356556,-1.571899514,1.02417986,-0.989218128,-0.108321701,-1.589908071,2.54429036
0.377842901,-1.57817713,0.614690313,-1.611849879,-0.012564415,2.871531042,-2.975976925
0.069047905,-1.234209568,2.366412437,-0.445106225,-0.236674307,3.526871908,-4.203415379
0.962835002,-0.997848271,0.808805608,-1.858421063,-0.162838701,-0.448715324,0.653801056
0.600022426,-1.884259532,1.863031334,-1.170096913,-0.046689395,0.45713323,-0.643159994
0.92520689,-0.591383116,1.869851095,-1.95524428,-0.331258609,-0.887718116,1.231435819
0.239402631,-1.714312006,1.373171789,-1.034760636,0.294300069,2.086778667,-2.588084842
0.554507284,-3.040725983,4.92727408,-1.068660596,0.033564416,-0.925316723,0.50212379
0.747382563,-1.480953311,0.939955303,-1.158093355,-0.295616616,0.397703487,-0.915123277
0.587088795,0.019767933,0.195617592,-1.36642729,0.148266623,0.641692002,-1.318675906
0.567853046,-1.343251184,2.129959819,-1.205323334,0.476967497,-1.007270798,1.239893635
0.69796235,-0.665357655,2.641583089,-0.394724144,0.036214964,-1.709611033,1.751095229
1.014350398,-1.158850555,3.050779658,-1.034605936,-0.343031666,-1.420859046,0.509569248
1.013895669,-1.012256449,2.18514844,-1.343442185,-0.173431357,-1.11366896,0.656434228
0.638193155,-2.66577904,4.661694521,-1.318488746,0.180306135,-2.082438277,2.870007552
0.127659983,-1.92586079,3.366429097,-1.04893025,0.66335966,0.55904432,-0.656179593
0.353920292,-1.701294103,1.286339976,-1.288362838,0.247917573,1.07845649,-1.463446215
0.976686308,-1.754794359,1.708642062,-1.376169652,0.041629059,-2.36761303,3.023699414
0.84069535,0.1464613,0.13408499,-1.189606691,-0.547190974,-0.385353667,0.777182605
0.464924812,-1.431194291,1.398195194,-1.018729123,0.2549392,-0.837383733,0.962814094
0.541094033,-1.16489041,1.316770522,-0.996050613,-0.071908526,-0.156834914,0.16255484
0.943048721,-2.104784539,0.205494511,-1.101941243,-0.502560596,-0.989510457,1.43886638
1.066074256,-2.072710799,1.884245614,-1.252715504,-0.352787644,-1.576265952,1.093969868
0.61278099,-0.865566119,1.957395948,-1.647362474,0.242354354,-0.284136744,0.060557747
0.86689301,-1.605678542,1.338382289,-1.460674642,-0.677482656,0.33012326,-0.083214941
1.19695325,-1.398319585,-0.048580489,-1.556294379,-0.70586644,-1.399720055,2.153919923
0.556706987,-4.184442453,2.881027239,-1.773901658,-0.082586386,1.397786822,-1.90119132
0.701463728,-3.897406816,2.581897467,-1.382015308,0.141399177,-0.710063907,0.917600127
0.930482101,-0.232320461,1.349820291,-2.08559284,-0.218605117,-1.196369286,1.4876724
0.40447311,-3.478849749,2.293642122,-1.152957976,0.261647692,0.276786994,-0.310105411
0.546430317,-2.113271739,1.144149856,-1.105595739,0.234771051,-0.34100164,0.365996917
0.653467605,-1.012413268,1.824550694,-1.215172894,-0.183634215,-0.574369538,0.461873766
0.515565573,-0.742051547,1.840097352,-1.013036984,0.108429511,-0.055279419,0.0397401
0.700568033,-2.548932259,2.649760215,-1.349581957,-0.183119037,0.789922035,-1.396790347
0.485553264,-1.571009931,0.897759188,-1.151333975,-0.094220982,1.112460866,-1.255825962
0.388725444,-0.795185287,1.3583517,-0.956230162,0.400676573,-0.097765917,0.269970463
0.584996993,-1.827141161,2.041599796,-1.380896865,0.237278295,-1.057270334,1.373064901
0.390816368,-2.344907048,1.442023652,-1.444587237,-0.097671577,1.166859338,-1.136016238
0.681698213,-1.37319776,1.491450447,-1.381171812,0.263801403,-1.072859398,1.185119943
0.509826841,-2.197498106,1.55537194,-1.201145006,0.396387851,-0.070568256,0.031316723
0.09559245,-0.885327853,1.925947627,-1.155080063,0.287460534,1.905199136,-2.126163393
0.18152608,-1.273963685,3.077777133,-0.460133016,-0.053439321,1.880279967,-2.410048995
0.216746475,-2.10670977,2.76503681,-0.861063706,-0.111697787,1.63843936,-1.767012001
0.402384331,-1.18533327,1.840408181,-0.738564188,-0.151106998,1.192359094,-1.717257002
0.738387548,-4.105349168,3.695473194,-2.039153952,0.049868127,0.466066635,-1.369208595
0.635545592,-1.600244593,1.130138663,-0.930645009,-0.318191068,0.390604934,-0.67728148
0.932030727,-2.184314936,1.062659355,-1.749633299,0.007366235,-0.759862757,0.78215778
0.432878066,-2.328860928,3.111068252,-0.995896283,0.18617858,0.650977021,-1.060295645
0.80456598,-0.147706507,1.183941282,-1.308233935,-0.161715259,-1.555957309,1.56779762
0.549545981,-2.195801831,4.955457625,-0.63636106,-0.095325227,-1.343780787,1.361582014
0.786210674,-2.132836143,1.795519924,-1.160912273,0.012041964,-1.679040646,2.035268319
0.853774412,-1.712811645,2.379373193,-0.981748543,-0.04631686,-2.014615835,2.327110912
0.68922265,-2.081464148,0.670394317,-1.227960568,0.142879037,0.225741504,-0.108405896
0.595666265,-1.898709335,1.577237966,-1.064703155,-0.193537176,-0.217248362,0.43043359
0.436405742,-2.856025222,1.2560479,-1.370481302,-0.339729154,1.618538129,-1.170235766
0.881999076,-2.582768849,0.258908497,-0.941837926,0.108240998,-1.654787606,1.997954889
0.42340945,-1.197016717,0.302709604,-1.136680659,-0.094155122,2.762108511,-3.274721058
0.628018599,-0.697078829,0.070338915,-1.06431679,-0.125726915,0.801202977,-0.976348332
0.389938197,-2.886000339,4.095876285,-1.062291461,-0.194743482,0.164908649,0.444585352
0.716762819,-2.048763407,3.322897678,-1.423524539,-0.422609465,-0.642177167,1.033004401
0.875435103,-1.767182409,2.880939503,-1.7756202,0.323294598,-2.526271103,3.129968533
0.537713892,-3.114885008,2.656017692,-1.44719872,0.625237366,-1.222971377,1.033263467
0.923840714,-0.821198863,0.441777154,-1.251025353,-0.219030086,-2.346011415,3.000807208
0.468716853,-2.2563359,2.516182128,-0.794457637,0.024614641,-0.898607507,1.514460862
0.546271414,-2.250081182,4.230617425,-1.186786049,-0.025030628,0.001413964,-0.668585747
0.63261312,-1.097740732,0.903657997,-1.1062579,0.111027716,0.11362444,-0.530225299
0.740231631,-2.386724413,2.556026819,-1.455051631,0.437768205,-2.985858807,3.855525155
1.014423798,-2.589128427,-0.093459526,-1.18704692,-0.247766761,-0.528771798,0.398559097
0.467499521,-2.481146502,3.570240381,-1.867968948,0.282576208,0.228898927,0.314743443
0.470394951,-3.591375977,2.046146144,-0.991076513,0.195307936,0.26598457,-0.513432059
0.668411056,-2.225613976,1.125292548,-1.169541218,0.306890878,-1.032899461,0.644571873
0.796640566,-0.956689878,2.10469461,-1.040363453,-0.281270112,-1.11571051,1.12079233
0.58927661,-1.679697235,1.141763948,-2.046731198,0.18060788,-0.017594768,0.06439087
0.825230724,-1.091675999,0.558628302,-0.663891246,0.06069502,-1.405675169,1.25436035
0.242410765,-0.704599637,1.382744268,-1.082594067,0.197298594,1.803064585,-2.072706563
0.73771878,-2.568463336,3.360370689,-1.343623322,0.08519116,-1.916201749,2.467989253
0.868062465,-1.873321541,2.629747801,-1.563369397,0.430524698,-1.690982651,1.249405394
1.226996554,-0.768892095,-0.157924814,-1.83686893,-0.111719513,-0.39854492,-0.106101998
0.816477645,-1.572160062,3.113037956,-1.918037786,-0.141912854,-0.504834243,0.280960351
0.68139417,0.064776063,1.570786452,-0.599921265,-0.464687895,-0.836649622,1.256516778
0.516675728,-1.530719805,1.583576852,-1.533890023,0.160996636,-0.601521119,1.162946368
0.529825856,-1.270388188,-0.677857909,-1.006007492,0.636462704,-0.350935003,0.485052469
0.891082757,-0.895063791,-0.190583847,-1.232182774,-0.331861074,0.389505288,-0.712897339
0.570233778,-1.364817589,5.190867153,-0.933798345,-0.330291396,-0.972957701,1.078683325
0.575124909,-1.047933742,1.472454817,-0.764058463,0.087433389,-1.321590965,1.856068996
0.746599891,-0.75436439,0.520327252,-1.072128518,-0.277570363,-0.075287218,0.532162163
0.657200197,-0.159539411,2.8871001,-1.710516847,-0.380139821,0.691635468,-0.794539552
0.220616642,-1.316416574,4.116274498,-1.103909102,-0.077331601,1.117542333,-1.129342416
0.911413553,-1.374538309,1.536737612,-0.636008262,0.00188237,-1.54528336,1.151611302
0.532005926,-1.365261808,3.277891285,-1.40221038,-0.013434377,-0.106379095,0.090350857
0.432641472,-2.190922613,3.108764924,-1.266784653,0.196206522,-0.008096002,-0.511085108
0.461577023,-2.03121037,1.430462067,-1.085251057,0.260222634,-0.256670773,0.858497061
0.739761112,-1.181439494,1.880324587,-1.722244431,-0.411539554,0.252665388,-0.06000878
0.538035159,-0.999397869,1.219468255,-1.267300911,-0.138136121,0.099800219,0.233468418
0.622616235,-1.114590456,1.116614544,-1.978041494,0.015361326,0.930836379,-0.995450163
0.398632145,-1.835755575,2.354504796,-2.015415881,0.063518696,0.888922243,-0.393048575
0.180820733,-3.965814483,4.697167492,-1.611205705,0.490495652,1.24931796,-1.415677985
0.327576327,-3.427732812,3.43950683,-1.383663423,0.432572493,0.305426561,0.050283872
0.357693178,-2.814206199,2.575884622,-0.676921826,0.397197603,0.050728849,-0.094743457
0.664038311,-1.988761249,1.757587872,-1.569226785,-0.455804444,0.816826676,-0.305775212
0.942810454,-0.884081138,0.25874862,-2.001941436,-0.302985499,-0.342885079,0.540985806
0.725812144,-2.325005215,2.366509188,-1.358307221,-0.325055251,0.66215604,-0.778063149
0.404878005,-0.147258945,1.22163795,-0.955100199,-0.010519566,0.203928729,-0.163977575
0.746468707,-1.814060302,1.068132922,-1.385122042,0.016345309,-0.588427664,0.354502149
0.879175954,-1.82374109,2.72933827,-1.757649823,0.340368953,-1.173281868,1.274469712
1.133803422,-1.992668936,1.823304372,-1.385053736,-0.210352474,-1.623335079,1.525943488
0.615092853,-1.099480603,0.100705434,-1.885181047,0.014824688,1.243983553,-1.262488863
0.295610723,-2.4200799,2.872107432,-1.505633115,0.255673714,0.043093827,0.305510735
0.353626941,-2.72753369,3.308250909,-1.782117202,0.055125217,2.698615104,-3.553146942
0.351894188,-1.501065153,3.044924468,-1.223815346,0.219308963,-0.350256008,0.419743118
0.28981578,-1.817953653,2.308579973,-0.317041357,0.339086587,0.025170475,-0.40853548
0.726231167,-2.014589283,2.149329818,-1.079790321,0.196422727,-1.297890389,1.046512347
0.64933917,-1.239246579,2.72516423,-1.375747438,-0.167068502,-0.458473035,0.400912616
0.634308691,-0.817813063,1.863812945,-0.698555672,-0.077243939,-0.296411789,-0.120921213
0.268864121,-1.714726978,3.081608524,-0.850540408,0.300613033,-0.208301665,0.672988809
0.2412257,-1.886781229,4.092887645,-0.901172883,0.193683441,0.540282969,-0.550101438
0.677130125,-2.862722223,1.935702768,-1.491692711,0.002477669,-0.588130615,1.017287009
-0.055734074,0.214960869,3.446338216,-0.47621489,0.08321439,0.756566647,0.029163911
0.623567255,-3.289967971,1.88414535,-1.0449901,0.061921718,-0.136319412,0.261552771
0.643327435,-0.270652936,0.848485598,-1.101070302,0.077335919,-0.753550123,0.709393467
0.588925947,-1.14830741,1.332709794,-1.636836159,-0.082573519,1.031094005,-0.900204342
0.808594582,-0.778889858,2.638345058,-1.837089604,-0.40796233,0.023254734,0.217807473
0.35569429,-1.370229478,2.219120885,-0.848868706,-0.241973998,1.960678063,-2.68385133
0.803801058,-1.573041694,-0.120800234,-2.078001824,-0.500979758,1.281491809,-1.270224626
0.516494751,-0.85632109,1.849514382,-1.392452077,0.228994615,-0.879563107,1.218144639
0.574260815,-1.239709828,1.892669722,-1.123851176,0.222966569,-0.564615959,0.182927453
0.99601575,-2.685919257,2.269806235,-1.432967852,-0.054348836,-2.1288039,2.385892684
0.955391798,-0.934455133,0.581208804,-1.729319929,-0.281737506,-0.48826006,0.412162041
0.659635245,-1.920903926,0.11467614,-1.888360756,0.026548772,1.177831556,-1.231879233
0.601963927,-4.50407353,3.289101152,-0.885784314,0.301233402,-1.487493348,1.186111514
0.152114258,-1.641276316,1.199103586,-0.701354809,0.203025276,2.550884205,-3.813968129
0.227574188,-2.906470937,3.097226443,-0.976855911,0.155837893,0.893796046,-0.731909816
0.582415719,-3.961198291,2.447168543,-1.018416707,-0.00827773,0.410809957,-0.754068979
0.334287871,-3.761646757,3.223743983,-1.304431488,0.468312676,0.325894381,-0.831723469
0.435648331,-0.791632475,3.139225264,-1.704216018,0.617764971,-2.457050245,4.017525711
0.176298674,-3.562760662,3.965353507,-0.898138617,0.639002496,0.314775016,-0.289896759
0.684687554,-0.961450923,2.633877938,-1.108641636,-0.206626355,0.093492547,-0.516205464
0.425321119,-1.692083212,1.209965673,-0.834225007,-0.169584602,0.655229661,-0.081994922
1.115675318,-2.07998338,1.082591295,-1.252862995,-0.008637586,-2.368118584,2.351162884
0.040755739,-2.060977412,2.927324908,-0.40782203,0.387062111,0.530120177,-0.482004396
0.109498249,-0.771417742,0.869270405,-1.465770185,0.904980278,0.40331381,-0.477167487
0.601508703,-0.708641746,1.603441945,-0.878478587,-0.734817058,1.347587919,-1.523342812
0.376517366,-2.324974261,1.859438399,-1.233176744,-0.189102132,1.937499804,-2.126237602
0.824447392,-2.509278423,2.556244651,-1.89536399,-0.379458609,0.195511403,-0.192455327
0.971059338,-2.583866118,2.372885302,-1.132193871,-0.312494154,-1.383774772,1.856763193
0.927433326,-1.301187403,1.564332039,-1.76348654,-0.086590948,-0.382220869,0.368742398
0.32082391,-1.610444741,2.040077088,-0.967460521,0.083987137,0.912213988,-0.895586791
0.748871308,-0.717371048,1.961643365,-1.307651996,-0.376396895,0.736724332,-1.140067759
0.921241494,-1.772026154,0.110481381,-1.583523343,0.264410499,-2.596559292,3.235005396
0.677531331,-1.557906882,2.742170846,-1.517566666,-0.040432812,-0.303063354,0.87180423
0.434414557,-2.792416796,3.224039596,-1.367276709,0.163662873,0.19169225,0.012443927
0.983735729,-1.984985034,4.160142228,-1.712276212,-0.112857941,-2.567777561,3.076733684
0.353665187,-1.856919589,1.933553903,-1.167934266,0.039530127,0.63693333,0.180121473
0.141742059,-2.239616035,3.051576915,-0.40031142,-0.061101999,1.392228713,-1.262639626
0.749422686,-0.401288581,1.353781281,-1.42773184,0.363520363,-0.649233842,0.127194363
0.836224715,-1.188468348,0.198687166,-1.303295691,-0.450904397,0.36612498,-0.568335504
0.440012338,-1.595644366,1.825056032,-0.805839838,0.450686074,-1.062104407,1.606439518
0.281230187,-1.430274119,1.014462223,-1.644972884,0.333248148,1.850212473,-2.013753462
0.577156592,-1.426654484,1.122150234,-1.112305296,0.088439747,0.843160801,-1.288110931
0.686027428,-1.367517944,0.861422206,-1.715121928,-0.044524987,0.404667954,-0.446999319
0.573087755,-1.38614735,2.031890421,-1.275723132,0.037269062,-0.121165565,-0.07508902
0.529190412,-2.979610554,3.904860007,-1.012787657,-0.066645446,-1.438427663,2.26224175
0.66044562,-1.38738671,2.267984515,-1.343714739,0.35163285,-1.954377268,2.282800463
0.394479504,-2.464500199,2.786410825,-1.845088899,0.28114823,0.364553833,-0.131438876
0.850198703,-2.172622036,2.428323204,-1.857311835,-0.090860225,-0.783319887,0.606365527
0.821134421,-1.529195558,1.799271381,-1.206508771,-0.950095546,0.357796454,-0.207076348
0.977491143,-1.371390643,3.494816514,-1.31774717,-0.105478922,-2.75619885,2.937979245
0.511662902,-0.50055351,2.173811254,-1.122202229,-0.046585221,0.024823945,-0.134016103
0.463626618,-1.33768565,0.959714892,-0.306921541,0.167277383,-0.324705021,0.179101275
0.532529525,-0.352871817,1.560465945,-1.327295789,-0.01095961,0.753749418,-1.315080299
0.397500738,-0.943610075,2.469372029,-1.228234229,-0.089675176,0.443618405,-0.273987608
0.916431622,-2.087045913,2.256185729,-0.885676663,-0.79184322,0.066190316,-0.155825556
0.129696346,-1.622813715,3.265506467,-1.03172786,0.760236949,0.30267825,-0.875631786
0.598005007,-1.090388259,2.331327079,-1.38505901,-0.217480123,-0.050501631,0.170841078
1.010620694,-0.76907723,1.665515897,-1.557815941,-0.173252934,-1.314811826,1.413114125
0.793144387,-0.826618759,1.464586909,-1.428991558,0.356474083,-1.250618656,1.089906075
0.612882595,-0.89370513,1.183493333,-1.221772043,-0.212411203,0.97009867,-1.625303531
0.386676367,-1.344627189,1.386499659,-2.605487737,0.231014909,3.285393852,-4.015522184
0.2949654,-0.689213248,-0.710451322,-0.627147477,0.395852659,0.050594891,0.294249221
0.81167258,-2.2919708,2.486052393,-0.824928119,-0.707708958,0.088490697,-0.598677527
0.478336856,-1.622603857,1.861479691,-1.068097525,-0.281176809,-0.607597304,1.579545579
0.890938233,-2.651349439,4.591899028,-1.131115073,-0.716348049,-0.342004505,0.113537841
0.815078368,-3.169532046,1.292773878,-0.627807343,-0.110328649,-1.687201734,2.05885266
0.426995558,-1.353686088,1.999187707,-1.678339691,0.274816105,-0.110289857,0.112221299
0.86277711,-1.203538796,1.013270086,-1.36339237,0.008377948,-1.049609221,1.017894628
1.124840022,-2.257701615,0.908898306,-1.558196247,-0.062325451,-2.705074538,3.541875638
-0.048723422,-4.25131894,4.519571728,-0.572572403,0.348701671,2.017084932,-2.425434389
0.721969597,-2.104538812,1.166237661,-1.243095158,-0.453802969,1.287910049,-1.662323837
0.792389527,-1.776654802,0.486067742,-0.980069757,0.116448791,-0.53573494,-0.156560629
0.607719689,-3.448306886,3.447842493,-0.629878503,-0.144667512,-0.990112191,1.100270257
0.486612442,-1.554511814,1.519093148,-0.797802632,-0.061024671,0.333475303,-0.715118175
1.073685807,-2.18160931,1.42041132,-1.21333814,-0.615957698,-0.092163258,-0.273579415
0.838971702,-1.687275277,1.472144152,-1.15693849,-0.186395396,-1.954622258,2.534411328
0.750088313,-1.928295992,0.675934863,-1.141887294,-0.209641774,-0.164041438,0.264702791
0.678694528,-1.675742538,1.06473223,-1.05706338,0.397599107,-0.729519345,0.474986532
0.456839298,-2.892761473,3.363976443,-1.318005926,-0.093948953,0.137016625,0.319108264
1.109284974,-2.144411495,1.961190688,-2.42441365,-0.161737035,-1.175746959,1.105309277
0.275241717,-1.91474919,2.48849184,-0.942816773,0.273026326,0.606062959,-0.427421594
1.000596473,-2.027942003,1.256838685,-1.366477708,-0.194603661,-0.862152964,0.511671431
0.137468285,-2.665603411,2.718890306,-0.831415048,-0.207663795,2.411232418,-2.292857141
1.27952057,-0.463270368,1.456895486,-1.614105689,-0.193923848,-3.764634062,4.225006504
0.641300875,0.016473972,3.968132831,-0.98303268,0.091145673,-1.448450007,1.352047222
0.682734451,-0.929085114,2.924771242,-1.151891161,0.205091007,-1.41556618,1.433548944
0.242459271,-3.445249216,4.498391818,-1.123753958,0.536181136,-0.409185574,0.79234524
0.305148688,-1.048171782,0.757698547,-1.818246746,0.29463346,2.249394779,-2.688680378
0.843247807,-3.448265407,3.635055644,-1.392609349,-0.339489753,0.497950296,-1.304884719
0.717464623,-1.550412092,0.584720277,-1.206438574,-0.062487599,0.702627396,-0.98224511
